...1,CellSubset,cell_name,functional_markers,lineage_markers,notes
159,NKT Cell CD4hi,NKT Cell,CD4hi,CD3+ CD56+ CD19- CD33-,NA
160,NKT Cell CD4lo CD8ahi CD28hi,NKT Cell,CD4lo CD8ahi CD28hi,CD3+ CD56+ CD19- CD33-,NA
161,NKT Cell CD4lo CD8ahi CD28lo,NKT Cell,CD4lo CD8ahi CD28lo,CD3+ CD56+ CD19- CD33-,NA
162,NKT Cell CD4lo CD8alo CD28hi,NKT Cell,CD4lo CD8alo CD28hi,CD3+ CD56+ CD19- CD33-,NA
163,NKT Cell CD4lo CD8alo CD28lo,NKT Cell,CD4lo CD8alo CD28lo,CD3+ CD56+ CD19- CD33-,NA
NA,NA,T Cell,NA,CD3+ CD19- CD56- CD33-,NA
NA,NA,CD4+ T Cell,NA,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8-,NA
NA,NA,CD4+ T Cell Non-Treg,NA,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8-,Unclear marker specificity
NA,NA,CD4+ T Cell CD45RA+,NA,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA+,NA
NA,NA,CD4+ T Cell CD45RA-,NA,CD3+ CD19- CD56- CD33- CD4+ gdTCR- CD8- CD45RA-,NA
NA,NA,CD8+ T cell,NA,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+,NA
NA,NA,CD8+ T Cell CD45RA+,NA,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA+,NA
NA,NA,CD8+ T Cell CD45RA-,NA,CD3+ CD19- CD56- CD33- CD4- gdTCR- CD8+ CD45RA-,NA
NA,NA,gdTCR+,NA,CD3+ CD19- CD56- CD33- gdTCR+,NA
NA,NA,B Cell CD27+,NA,CD3- CD19+ CD56- CD33- CD27+,NA
NA,NA,B Cell Plasmablast,NA,CD3- CD19+ CD56- CD33- CD27+ CD38+,NA
NA,NA,B Cell Memory,NA,CD3- CD19+ CD56- CD33- CD27+ CD38-,NA
NA,NA,B Cell Transitional,NA,CD3- CD19+ CD56- CD33- CD27- CD38+ CD24+,NA
NA,NA,B Cell Naive,NA,CD3- CD19+ CD56- CD33- CD27- CD24-,NA
NA,NA,Granulocyte Basophil,NA,CD3- CD19- CD56- CD33- CD123+ HLADR-,NA
NA,NA,NK Cell,NA,CD3- CD19- CD56+ CD33-,NA
NA,NA,Myeloid,NA,CD33+ CD3- CD19-,NA
NA,NA,Monocyte CD14+,NA,CD33+ CD3- CD19- CD14+,NA
NA,NA,Myeloid CD14-,NA,CD33+ CD3- CD19- CD14-,NA
NA,NA,CD1c- CD141- Dendritic Cell Conventional,NA,CD33+ CD3- CD19- CD14- CD16- CD1c- CD141-,NA
NA,NA,"Dendritic Cell Type 1, CD141+",NA,CD33+ CD3- CD19- CD14- CD16- CD1c- CD141+,NA
NA,NA,"Dendritic Cell Type 2, CD1c+",NA,CD33+ CD3- CD19- CD14- CD16- CD1c+ CD141-,NA
